// Switeck's Water World ai v11.2
// Weights resource production.
Weight ARMGEO 1
Weight ARMAP 1
Weight ARMRL 0.9
Weight ARMMEX 0.7
Weight ARMAAP 0.4
Weight ARMHP 0.1
Weight AAISOLAR 0
Weight AAIMEX 0.7

Weight ARMFRL 1
Weight ARMTIDE 0.95
Weight ARMSY 0.75
Weight ARMUWES 0.6
Weight ARMASY 0.25
Weight ARMUWMEX 0.2
Weight ARMFMKR 0.05

Weight ARMBRTHA 1
Weight ARMFLAK 0.6
Weight ARMMMKR 0.3

Weight ARMPLAT 1
Weight ARMUWFUS 0.4
Weight ARMATL 0.05

Weight ARMCA 1
Weight ARMACA 1
Weight ARMCSA 1
Weight ARMCH 1
Weight ARMACSUB 0.8
Weight ARMCS 0.7

Weight CORGEO 1
Weight CORAP 1
Weight CORMEX 0.7
Weight CORAAP 0.3
Weight CORHP 0.1
Weight CAIMEX 0.8

Weight CORTIDE 1
Weight CORSY 0.85
Weight CORFRL 0.75
Weight CORUWES 0.6
Weight CORASY 0.4
Weight CORUWMEX 0.2
Weight CORFMKR 0.05

Weight CORINT 1
Weight CORFLAK 0.4
Weight CORMMKR 0.2

Weight CORPLAT 1
Weight CORUWFUS 0.5
Weight CORATL 0.05

Weight CORCA 1
Weight CORACA 1
Weight CORCH 1
Weight CORCS 0.8
Weight CORACSUB 0.6

// Weights ships, aircraft, and hovercraft.
Weight ARMPT 0.9
Weight ARMSS 0.4
Weight ARMROY 0.25
Weight ARMSUB 0.05

Weight ARMCARRY 1
Weight ARMCRUS 0.7
Weight ARMAAS 0.4

Weight ARMHAWK 0.9
Weight ARMSEAP 0.7
Weight ARMSFIG 0.4
Weight ARMBRAWL 0.3
Weight ARMFIG 0.05

Weight ARMAH 1
Weight ARMMH 0.6
Weight ARMANAC 0.1

Weight CORAPE 0.9
Weight CORSEAP 0.7
Weight CORVAMP 0.6
Weight CORSFIG 0.4
Weight CORVENG 0.05

Weight CORAH 0.9
Weight CORMH 0.5
Weight CORSNAP 0.1

Weight CORPT 1
Weight CORROY 0.4
Weight CORSUB 0.1

Weight CORCARRY 1
Weight CORBATS 0.8
Weight CORCRUS 0.5
Weight CORARCH 0.3
Weight CORMSHIP 0.2
Weight CORSSUB 0.1

//Special ai units
Weight ACKFUS 1
Weight FLUXOR 1
Weight NUKEA 0.4
Limit ACKFUS 2
Limit AAIFLASH 0
Limit ARMAIVP 0
Limit FLUXOR 1
Limit AAIEMP 0

Weight CCKFUS 1
Weight Quark 1
Weight NUKEC 0.4
Limit CCKFUS 2
Limit Quark 1
Limit CAIGANT 0
Limit CAITRON 0

// ai-only aircraft
Weight AAIBRAWL 0.6
Weight AAIFIG 0.3
Weight AAIHAWK 1
Weight AAILANCE 0.1
Weight AAIPNIX 0.2
Weight AAITHUND 0.05
Limit AAIBRAWL 24
Limit AAIFIG 14
Limit AAIHAWK 60
Limit AAILANCE 12
Limit AAIPNIX 20
Limit AAITHUND 10

Weight CAIAPE 1
Weight CAIHURC 0.3
Weight CAISHAD 0.1
Weight CAITITAN 0.1
Weight CAIVAMP 0.9
Weight CAIVENG 0.4
Limit CAIAPE 30
