// BANZAI Airbattle Profile

plan easy	
weight	ARMKAM	0.60
weight	SHRIKE	0.30
weight	ORCA	0.40
weight	ARMWASP	0.25
weight	CORSHAD	0.30
weight	ARMTHUND	0.30
weight	CORVENG	0.20
weight	ARMFIG	0.20
weight	BLADE	0.60
weight	CORFINK	0.00
weight	ARMPEEP	0.00
weight	ARMATLAS	0.00
weight	CORVALK	0.00
weight	CORHORS	0.20
weight	charpy	0.50
weight	TAWF108	0.50
weight	CORHURC	0.30
weight	KANASHIMI	0.00
weight	TAWF107	0.50
weight	TAWF008	0.50
weight	ARMPERS	0.95
weight	predator	0.25
weight	TAWF007	0.50
weight	ARMTOMCT	0.95
weight	gryphon	0.50
weight	ARMCYBR	0.40
weight	CORWING	0.40
weight	ARMPNIX	0.40
weight	ARMFRP	0.00
weight	Sakura	0.00
weight	cormlsp	0.50
weight	ARMBRAWL	0.95
weight	CORAPE	0.95
weight	ARMAWAC	0.00
weight	CORAWAC	0.00
weight	ARMHAWK	0.10
weight	CORVAMP	0.50
weight	ARMMLSP	0.40
weight	ARMLANCE	0.00
weight	CORTITAN	0.00
weight	CORABMB	0.00
weight	ARMCA	0.97
weight	CORCA	0.97
weight	ARMACA	2.98
weight	CORACA	2.98
weight	ARMANS	0.65
weight	CORANS	0.65
weight	ARMBEAVER	0.10
weight	CORMUSKRAT	0.10
weight	ARMCH	0.50
weight	CORCH	0.50
weight	aach	0.50
weight	cach	0.50
weight	CORBOI	0.40
weight	ARMJIB	0.65
weight	ARMNTOW	0.00
weight	CORNTOW	0.00
weight	RepairArm	0.00
weight	ARMCK	0.75
weight	CORCK	0.75
weight	ARMCV	0.75
weight	CORCV	0.75
weight	ARMACK	0.97
weight	CORACK	0.99
weight	ARMCS	1.00
weight	CORCS	1.00
weight	ARMACSUB	0.00
weight	CORACSUB	0.00
weight	ARMCSA	0.00
weight	CORCSA	0.00
weight	ARMACV	0.99
weight	CORACV	0.99
weight	TAWF111	0.50
weight	armarch	0.50
weight	armcir	0.95
weight	CHAOSMACHINE	0.50
weight	corcirc	0.50
weight	ARMSPAR	0.00
weight	ARMDEVA	0.70
weight	TAWF010	0.50
weight	CORERAD	0.95
weight	ARMFAMINE	0.00
weight	cnemesis	0.60
weight	CorFLA	0.70
weight	SCREAMER	0.80
weight	ARMMTLAB	0.50
weight	CORMTLAB	0.50
weight	CORFLAK	0.80
weight	ARMFLAK	0.80
weight	MERCURY	0.80
weight	NITFLOWR	0.95
weight	SKYSWEEPR	0.85
weight	ARMEMG	0.00
weight	CORFMD	0.80
weight	ARMAMD	0.80
weight	ARMDRAG	0.00
weight	CORDRAG	0.30
weight	TAWF005	0.30
weight	ARMLLT	0.00
weight	CORLLT	0.00
weight	CORHLT	0.60
weight	ARMHLT	0.60
weight	MEDUSA	0.50
weight	ARMRL	0.95
weight	CORRL	0.50
weight	ARMGUARD	0.80
weight	CORPUN	0.80
weight	CORVHLT	0.95
weight	ARMANNI	0.75
weight	CORDOOM	0.00
weight	ARMBRTHA	0.50
weight	CORINT	0.50
weight	CORBUZZ	0.35
weight	ARMVULC	0.35
weight	CORBBC	0.60
weight	ARMDEV	0.60
weight	TAWF001	0.50
weight	ARMMORTAR	0.10
weight	CorPestilence	0.00
weight	ARMSILO	0.00
weight	CORSILO	0.00
weight	AAISILO	0.70
weight	CAISILO	0.70
weight	ARMHNSILO	0.00
weight	CORHNSILO	0.00
weight	ARMPB	0.20
weight	ARMAMB	0.00
weight	CORTOAST	0.10
weight	CORVIPE	0.00
weight	AGORGON	0.20
weight	CORTRON	0.00
weight	ARMEMP	0.00
weight	CAITRON	0.70
weight	AAIEMP	0.70
weight	ARMTARG	0.00
weight	CORTARG	0.00
weight	ARMBFORTEW	0.00
weight	ARMFORTEW	0.00
weight	ARMFORT	0.00
weight	CORFORT	0.00
weight	ARMBFORTNS	0.00
weight	ARMFORTNS	0.00
weight	CORFFLAK	0.00
weight	ARMTRID	0.00
weight	RESFMDNS	0.00
weight	CORKRAK	0.00
weight	ARMFDRAG	0.00
weight	CORFDRAG	0.00
weight	ARMFFLAK	0.00
weight	CORFRT	0.00
weight	ARMFHLT	0.00
weight	CORFHLT	0.00
weight	ARMTL	0.00
weight	CORTL	0.00
weight	ARMFRT	0.00
weight	ARMATL	0.00
weight	CORATL	0.00
weight	ARMANINS	0.00
weight	CORDOMNS	0.00
weight	CORINTNS	0.00
weight	ARMBTANS	0.00
weight	CORBUZNS	0.00
weight	ARMVCNNS	0.00
weight	AMDREPNS	0.00
weight	CORSLONS	0.00
weight	ARMSLONS	0.00
weight	CORVIPNS	0.00
weight	ARMAP	1.50
weight	ARMHP	0.00
weight	CORHP	0.00
weight	ARMLAB	0.50
weight	CORLAB	0.50
weight	ARMVP	0.50
weight	CORVP	0.50
weight	ARMSY	1.00
weight	CORSY	1.00
weight	CORAP	2.55
weight	ARMAAP	1.50
weight	CORAAP	1.55
weight	aahp	0.70
weight	cahp	0.70
weight	ARMALAB	0.00
weight	CORALAB	0.00
weight	ARMAVP	0.40
weight	CORAVP	0.40
weight	ARMASY	0.00
weight	CORASY	0.00
weight	CORGANT	0.00
weight	ARMKUS	0.00
weight	CORBLAB	0.00
weight	ARMBLAB	0.00
weight	ssplant	0.96
weight	ARMHPNS	0.00
weight	CORHPNS	0.00
weight	ARMPLAT	0.00
weight	CORPLAT	0.00
weight	HAVOC	0.40
weight	SABRE	0.40
weight	CHOPPER	0.05
weight	cdragon	0.50
weight	ARMANAC	0.10
weight	ARMTHOVR	0.00
weight	CORAH	0.70
weight	ARMAH	0.70
weight	NSACLASH	0.80
weight	BOMBARDIER	0.85
weight	LOBBER	0.60
weight	CSPEED	0.50
weight	NSAAGCH	0.70
weight	SPEEDER	0.95
weight	ARMLASHOVER	0.65
weight	CORELASHOVER	0.50
weight	ARMSH	0.30
weight	CORSNAP	0.50
weight	SPOTTER	0.00
weight	BLOTTER	0.00
weight	CONCEALER	0.00
weight	CORMH	0.95
weight	NSACBRIM	0.75
weight	NSAARHOV	0.80
weight	ARMMH	0.95
weight	CORSH	0.00
weight	NSACBEHE	0.75
weight	NSACANGLR	0.00
weight	NSAATORPH	0.00
weight	CORTHOVR	0.00
weight	armdread	0.90
weight	armlth	0.70
weight	armpgh	0.70
weight	coradvrh	0.70
weight	CORPHYSET	0.60
weight	CORARTH	0.90
weight	ARMARTH	0.95
weight	CORFLAKH	0.50
weight	ARMFLAKH	0.50
weight	armKAAT	0.95
weight	CORKROG	0.95
weight	ARMKRYP	0.90
weight	ARMMedic	0.00
weight	cAcolyte	0.00
weight	CORClone	0.00
weight	CORHelpr	0.00
weight	CORWarrr	0.00
weight	ARMClone	0.00
weight	ARMHelpr	0.00
weight	ARMMsect	0.00
weight	AEXXEC	0.00
weight	ARMFLEA	0.00
weight	CORRONIN	0.00
weight	SHAKER	0.00
weight	CORESOLD	0.00
weight	ARMJETH	0.00
weight	ARMHAM	0.00
weight	CORTHUD	0.00
weight	CORAK	0.00
weight	ARMPW	0.00
weight	ARMWAR	0.00
weight	CORCRASH	0.00
weight	ARMROCK	0.00
weight	CORSTORM	0.00
weight	ARMFAV	0.00
weight	CORBANDIT	0.10
weight	armbighr	0.10
weight	ARMCAV	0.90
weight	CORCRAB	0.50
weight	ARMDECOM	0.05
weight	CORDECOM	0.05
weight	corflam	0.10
weight	NSAAGRIZ	0.50
weight	ArmHH	0.95
weight	ArmOS	0.50
weight	COROS	0.50
weight	CORSMK	0.50
weight	armMech	0.75
weight	ARMSNIPE	0.00
weight	corzlot	0.10
weight	ASNIPER	0.10
weight	SOULREAVER	0.00
weight	WARHAMMER	0.75
weight	WRAITH	0.00
weight	CORAMPH	0.00
weight	ARMAMPH	0.00
weight	CORSUMO	0.60
weight	CORCAN	0.95
weight	ARMFIDO	0.95
weight	CORARCH	0.00
weight	ARMVADER	0.00
weight	CORROACH	0.00
weight	CORFAST	0.00
weight	ARMFAST	0.70
weight	CORPYRO	0.20
weight	ARMMAV	0.00
weight	CORHRK	0.60
weight	OPPRESSOR	0.00
weight	ARMZEUS	0.40
weight	CORMORT	0.95
weight	ARMMARK	0.00
weight	CORVOYR	0.00
weight	CORSPEC	0.00
weight	ARMSPY	0.00
weight	CORSPY	0.00
weight	CORMINE1	0.00
weight	CORMINE2	0.00
weight	CORMINE3	0.00
weight	CORMINE4	0.00
weight	CORMINE5	0.00
weight	CORMINE6	0.00
weight	AMINEGUN	0.00
weight	AMINEJAM	0.00
weight	ARMMINE5	0.00
weight	ARMMINE2	0.00
weight	ARMMINE1	0.00
weight	ARMMINE4	0.00
weight	ARMMINE3	0.00
weight	ARMMINE6	0.00
weight	ARMASER	0.00
weight	AJAMMER	0.00
weight	SPOOFER	0.55
weight	ARMASTN	0.00
weight	ARMRAD	0.00
weight	CORRAD	0.00
weight	ARMSONAR	0.00
weight	CORSONAR	0.00
weight	ARMARAD	0.00
weight	CORARAD	0.00
weight	ARMASON	0.00
weight	CORASON	0.00
weight	ARMBEAC	0.00
weight	CORBEAC	0.00
weight	ARMEYE	0.00
weight	ARMAFRAD	0.00
weight	AFLRADAR	0.00
weight	ARMASP	0.65
weight	CORASP	0.65
weight	QuadAirPad	0.40
weight	CORERRP	0.00
weight	ARMPADNS	0.00
weight	CORFUS	0.70
weight	ARMFUS	0.70
weight	TAWF004	0.00
weight	TAWF104	0.00
weight	ARMADVSOL	0.35
weight	CORADVSOL	0.35
weight	APART	0.70
weight	AAFUS	0.50
weight	CAFUS	0.50
weight	ARMCKFUS	0.65
weight	CORCKFUS	0.65
weight	CORMFUS	0.80
weight	ARMMFUS	0.80
weight	ARMSOLAR	10.90
weight	CORSOLAR	10.90
weight	AAISOLAR	0.00
weight	CAISOLAR	0.00
weight	ARMGEO	3.95
weight	CORGEO	3.95
weight	amgeo	2.95
weight	cmgeo	2.95
weight	MLEX	0.45
weight	ARMMEX	2.00
weight	CORMEX	2.00
weight	AAIMEX	0.00
weight	CAIMEX	0.00
weight	CKMMKR	0.00
weight	ARMMAKR	0.80
weight	CORMAKR	0.80
weight	ARMMMKR	0.55
weight	CORMMKR	0.55
weight	ARMMOHO	1.95
weight	CORMOHO	1.95
weight	ARMWIN	5.90
weight	CORWIN	5.90
weight	crnns	0.00
weight	ARMTIDE	0.00
weight	CORTIDE	0.00
weight	ARMUWFUS	0.00
weight	CORUWFUS	0.00
weight	AAITIDE	0.00
weight	CAITIDE	0.00
weight	ARMUWMEX	0.00
weight	CORUWMEX	0.00
weight	AAIUWMEX	0.00
weight	CAIUWMEX	0.00
weight	ARMFMKR	0.00
weight	CORFMKR	0.00
weight	ARMMOHNS	0.00
weight	CORMOHNS	0.00
weight	armUMME	0.00
weight	corUMME	0.00
weight	corshilone	0.00
weight	ARMSFIG	1.00
