// BANZAI Seabattle Profile	

plan easy	
weight	ARMKAM	0.20
weight	SHRIKE	0.50
weight	ORCA	0.10
weight	ARMWASP	0.30
weight	CORSHAD	0.20
weight	ARMTHUND	0.20
weight	CORVENG	0.20
weight	ARMFIG	0.25
weight	BLADE	0.30
weight	CORFINK	0.00
weight	ARMPEEP	0.00
weight	ARMATLAS	0.00
weight	CORVALK	0.00
weight	CORHORS	0.20
weight	charpy	0.70
weight	TAWF108	0.50
weight	CORHURC	0.20
weight	KANASHIMI	0.00
weight	TAWF107	0.50
weight	TAWF008	0.50
weight	ARMPERS	0.50
weight	predator	0.35
weight	TAWF007	0.50
weight	ARMTOMCT	0.70
weight	gryphon	0.70
weight	ARMCYBR	0.30
weight	CORWING	0.30
weight	ARMPNIX	0.40
weight	ARMFRP	0.00
weight	Sakura	0.00
weight	cormlsp	0.00
weight	ARMBRAWL	0.95
weight	CORAPE	0.95
weight	ARMAWAC	0.00
weight	CORAWAC	0.00
weight	ARMHAWK	0.50
weight	CORVAMP	0.50
weight	ARMMLSP	0.00
weight	ARMLANCE	0.85
weight	CORTITAN	0.85
weight	CORABMB	0.00
weight	ARMCA	0.95
weight	CORCA	0.95
weight	ARMACA	2.60
weight	CORACA	2.60
weight	ARMANS	0.80
weight	CORANS	0.80
weight	ARMBEAVER	0.80
weight	CORMUSKRAT	0.80
weight	ARMCH	0.95
weight	CORCH	0.95
weight	aach	0.90
weight	cach	0.90
weight	CORBOI	0.95
weight	ARMJIB	0.95
weight	ARMNTOW	0.00
weight	CORNTOW	0.00
weight	RepairArm	0.00
weight	ARMCK	0.30
weight	CORCK	0.30
weight	ARMCV	0.30
weight	CORCV	0.30
weight	ARMACK	0.10
weight	CORACK	0.10
weight	ARMCS	1.40
weight	CORCS	1.40
weight	ARMACSUB	0.90
weight	CORACSUB	0.90
weight	ARMCSA	0.95
weight	CORCSA	0.95
weight	ARMACV	0.10
weight	CORACV	0.10
weight	TAWF111	0.00
weight	armarch	0.00
weight	armcir	0.60
weight	CHAOSMACHINE	0.40
weight	corcirc	0.00
weight	ARMSPAR	0.00
weight	ARMDEVA	0.00
weight	TAWF010	0.00
weight	CORERAD	0.60
weight	ARMFAMINE	0.00
weight	cnemesis	0.30
weight	CorFLA	0.70
weight	SCREAMER	1.00
weight	ARMMTLAB	0.00
weight	CORMTLAB	0.00
